NomCommune	Surface	Code insee	Pop 90	Pop 99	lon	lat	x mètres	y mètres	pixel x	pixel y
Darvault	780.1	77156	742	778	2.7278187014	48.2769191887	90908.115374028	15064.4561546696	454.5405768701	75.3222807733
Gambais	2278.3	78263	1730	2064	1.6772851429	48.7796356845	13909.818890162	71727.8895530896	69.5490944508	358.6394477654
La Brosse-Montceaux	1204.2	77054	623	599	3.0234546765	48.3392707707	112839.205829658	21960.0029683495	564.1960291483	109.8000148417
Saints	2000.1	77433	1007	1173	3.0593759649	48.7649350311	115465.46583813	69280.9592170492	577.3273291907	346.4047960852
Elancourt	907.5	78208	22584	26655	1.961013689	48.7787188092	34755.1101385531	71314.1775351195	173.7755506928	356.5708876756
Trappes	1371.5	78621	30878	28812	1.9942591564	48.7751724022	37192.8734782421	70888.2649941593	185.9643673912	354.4413249708
Bazoches-sur-Guyonne	562	78050	423	477	1.8522489301	48.7733352313	26754.7711046761	70826.3213815996	133.7738555234	354.131606908
Grosrouvre	1252.8	78289	704	763	1.7570410287	48.7806893935	19771.520961951	71749.8257058198	98.8576048098	358.7491285291
Montigny-le-Bretonneux	1075.1	78423	31687	35216	2.0292952292	48.7798723677	39773.840917001	71378.57920413	198.869204585	356.8928960207
Neufmoutiers-en-Brie	1621.7	77336	745	854	2.826019263	48.7743965866	98315.418833727	70345.40067707	491.5770941686	351.7270033854
La Queue-en-Brie	932.5	94060	9897	10852	2.5838022872	48.7778841984	80517.190218045	70799.6940276697	402.5859510902	353.9984701383
Vélizy-Villacoublay	896.7	78640	20725	20342	2.1975287687	48.7837974553	52139.595586032	71676.17950923	260.6979779302	358.3808975462
Ormesson-sur-Marne	344.4	94055	10038	9793	2.5390006565	48.7857020712	77230.0865877371	71687.2165488992	386.1504329387	358.4360827445
Beautheil	1834.6	77028	410	562	3.0960350845	48.7615850024	118160.466185263	68911.13546276	590.8023309263	344.5556773138
Fontenay-aux-Roses	251.2	92032	23322	23537	2.2871492237	48.7897848978	58730.277902315	72278.7015771093	293.6513895116	361.3935078855
Guyancourt	1319.9	78297	18307	25079	2.0757938519	48.7731880695	43181.698210194	70594.4257538998	215.908491051	352.9721287695
Buc	811.9	78117	5434	5764	2.1243134891	48.7722256338	46746.046173113	70446.7835878292	233.7302308656	352.2339179391
Montarlot	519.5	77299	224	227	2.8581368779	48.3511960116	100591.198993565	23294.6575106196	502.9559949678	116.4732875531
Choisy-en-Brie	2511.2	77116	1049	1152	3.2130050332	48.7652572997	126757.520363081	69336.2669952996	633.7876018154	346.6813349765
Marolles-en-Brie	908.2	77278	278	355	3.1607040342	48.7745489274	122911.181441501	70360.2711890601	614.5559072075	351.8013559453
L/Haÿ-les-Roses	386.6	94038	29746	29660	2.3382975791	48.7761199229	62475.1619490311	70726.6708114995	312.3758097452	353.6333540575
Lescherolles	1105	77247	372	418	3.3509208697	48.7607335018	136896.830089649	68869.4879998295	684.4841504482	344.3474399991
Le Plessis-Robinson	339.4	92060	21289	21618	2.2599821818	48.7803837197	56724.662646584	71251.8113641292	283.6233132329	356.2590568206
Bourg-la-Reine	187.2	92014	18499	18251	2.3170112551	48.7805990309	60915.256647781	71237.9912425196	304.5762832389	356.1899562126
Gambaiseuil	1921.4	78264	44	54	1.7250987648	48.7563310966	17380.955855223	69079.2888188595	86.9047792761	345.3964440943
Noiseau	459.2	94053	2831	3971	2.5553365745	48.7737337365	78422.831465282	70349.6262378395	392.1141573264	351.7481311892
Bonneuil-sur-Marne	556	94011	13626	15889	2.4873338886	48.772954772	73424.814456406	70293.3120688498	367.124072282	351.4665603442
Sucy-en-Brie	1036.8	94071	25839	24812	2.5319982714	48.7657910861	76702.4840735151	69476.4385707295	383.5124203676	347.3821928536
Maurepas	834.3	78383	19718	19586	1.9233078259	48.7698783951	31971.2009290301	70368.4487152295	159.8560046452	351.8422435761
Hautefeuille	981.2	77224	220	207	2.9639689346	48.7666573692	108452.867946191	69471.4225588394	542.264339731	347.3571127942
Sceaux	360.2	92071	18052	19494	2.2961205564	48.7770438679	59376.727749697	70856.1983484095	296.8836387485	354.280991742
Montfort-l'Amaury	573.9	78420	2651	3137	1.8090502302	48.7716074605	23577.506638031	70681.2505169893	117.8875331902	353.4062525849
Mauperthuis	197.2	77281	406	429	3.0388841042	48.7698877826	113958.985409195	69830.6997250598	569.794927046	349.1534986253
Ozoir-la-Ferrière	1558.9	77350	19031	20707	2.6800335652	48.7634252445	87582.114255949	69159.1025823094	437.9105712797	345.7955129115
Châtenay-Malabry	635.5	92019	29197	30621	2.263235127	48.7680635699	56950.900886124	69879.7967502698	284.7545044306	349.3989837513
La Houssaye-en-Brie	1239.5	77229	1038	1456	2.8675142827	48.7561332342	101361.45413944	68308.8564548893	506.8072706972	341.5442822744
Gretz-Armainvilliers	1357.2	77215	7246	7613	2.7259608281	48.7492410611	90952.4980970511	67569.3437742293	454.7624904853	337.8467188711
Chevilly-Larue	420.7	94021	16223	18149	2.3528447976	48.7666065876	63535.488723407	69660.0909923101	317.677443617	348.3004549616
Choisy-le-Roi	544.1	94022	34068	34336	2.4164804386	48.7640691935	68210.5110474491	69341.5275156796	341.0525552372	346.7076375784
Dannemarie	345.1	78194	266	261	1.6083049662	48.7647590549	8812.6068114	70161.1815625094	44.063034057	350.8059078125
Bièvres	972.7	91064	4209	4034	2.2065532752	48.7566925493	52772.3663499081	68655.9313058397	263.8618317495	343.2796565292
Bourdonné	1089.4	78096	390	427	1.6537816162	48.7546447546	12135.6061512741	68978.8333392693	60.6780307564	344.8941666963
Chartronges	826.5	77097	272	270	3.2627018472	48.7514216103	130415.455031968	67808.9527887898	652.0772751598	339.0447639439
Saint-Léger-en-Yvelines	3514.5	78562	1074	1322	1.7601128308	48.7302415438	19909.140077231	66137.9209209299	99.5457003862	330.6896046047
Antony	952.5	92002	57771	59855	2.2991416292	48.7507091322	59572.736253259	67926.2881764397	297.8636812663	339.6314408822
Les Loges-en-Josas	251.3	78343	1506	1451	2.1398064252	48.7622137828	47872.466426458	69321.1547385296	239.3623321323	346.6057736926
Valenton	530.1	94074	11110	11426	2.460356458	48.7536393992	71427.568959111	68158.9773142794	357.1378447956	340.7948865714
Saint-Remy-l'Honoré	1025.1	78576	1004	1299	1.8757779092	48.7487040126	28444.7703541741	68063.0863357401	142.2238517709	340.3154316787
Lésigny	1013.7	77249	7865	7647	2.6161484402	48.749870275	82878.9620316051	67672.9364907295	414.394810158	338.3646824536
